year,total,employee
1996,4954,1275
1997,5332,1305
1998,5590,1382
1999,6058,1438
2000,6772,1614
2001,7509,1741
2002,8469,1987
2003,9249,2283
2004,10006,2438
2005,10728,2585
2006,11381,2890
2008,12298,3394
2009,13027,3474
2010,13871,3721
2011,15022,3962
2012,15473,4236
2013,16029,4421
2014,16655,4518
2015,17322,4710
2016,17710,4956
2017,18687,5218
2018,19565,5431
